Date,Description,Negative (USD),Positive (USD),Paid by,Comment
26/05/2020,coucher.org domain registration,13.16,,Aapeli,
27/05/2020,couchers.org domain registration,13.16,,Aapeli,
03/08/2020,AWS (July),14.74,,Aapeli,
10/08/2020,ASIC incorporation fee,298.59,,Aapeli,AU$417
02/09/2020,AWS (August),32.59,,Aapeli,
03/10/2020,AWS (September),42.28,,Aapeli,
03/11/2020,AWS (October),73.48,,Aapeli,
03/12/2020,AWS (November),71.52,,Aapeli,
03/01/2021,AWS (December),83.20,,Aapeli,
03/02/2021,AWS (January),80.11,,Aapeli,
14/02/2021,TransferWise joining fee,17.08,,Itsi,AU$22
