Date,Description,Negative (USD),Positive (USD),Paid by (if not Couchers.org bank account),Comment
26/05/2020,coucher.org domain registration,13.16,,Aapeli,
27/05/2020,couchers.org domain registration,13.16,,Aapeli,
03/08/2020,AWS (July),14.74,,Aapeli,
10/08/2020,ASIC incorporation fee,298.59,,Aapeli,AU$417
02/09/2020,AWS (August),32.59,,Aapeli,
03/10/2020,AWS (September),42.28,,Aapeli,
03/11/2020,AWS (October),73.48,,Aapeli,
03/12/2020,AWS (November),71.52,,Aapeli,
03/01/2021,AWS (December),83.20,,Aapeli,
03/02/2021,AWS (January),80.11,,Aapeli,
14/02/2021,TransferWise joining fee,17.08,,Itsi,AU$22
14/02/2021,Benevolent benefactorship,,1000.00,Aapeli,Transferred $277.17
14/02/2021,Benevolent benefactorship,,1000.00,Itsi,Transferred $982.92
03/03/2021,AWS (February),143.00,,Aapeli,
03/04/2021,AWS (March),125.13,,Aapeli,
15/04/2021,Fastmail,220.00,,,
01/05/2021,Business name registration (Couchers.org Foundation),67.38,,,AU$87
03/05/2021,AWS (April),138.53,,Aapeli,
03/06/2021,AWS (May),142.82,,Aapeli,
03/07/2021,AWS (June),197.37,,Aapeli,
03/08/2021,AWS (July),169.17,,Aapeli,
17/08/2021,Benevolent benefactorship,,1000.00,Aapeli,Transferred $83.98
17/08/2021,Benevolent benefactorship,,1000.00,Itsi,Transferred $1000.00
